Subsystem	Original evidence	Exact semantics	Android implementation	Status	Test	Evidence path	Remaining unknowns
Player stats/defaults	SRO_VT_SHARD.Bak _AddNewChar: level 1, hp/mp 200, gold 50000000, skillpoint 1000000, inventory 109	New-character defaults proven	PlayerState holds level/hp/mp/gold with clamps; no level-curve application	PARTIAL	PlayerStateTest	scripts/testdata/formats/phase27_source_evidence.json	Stat growth/level curve wiring
NPC/monster data-driven entities	Media.pk2 characterdata_25000.txt (3736 lines, 120 distinct bsr); npcpos.tsv	Per-region entity catalog + spawn positions proven, no positions in char-gen	CharacterCatalog + NpcPosTable + NpcSpawnIndex	PROVEN	CharacterCatalogTest, Phase28SourceEvidenceTest	scripts/testdata/formats/phase28_source_evidence.json	Entity->region mapping completeness
NPC/monster runtime behavior (AI)	No AI in corpus (server-side)	Unknown	None	UNKNOWN	(none)	(server binary, absent)	Aggro/move/pathfinding AI
Skill cadence/semantics	skilldata.tsv is a 7-line source-file list (unparsed)	Unknown	None	UNKNOWN	Phase28SourceEvidenceTest	android/app/src/main/assets/game/textdata/skilldata.tsv	Skill effect/cast-time/cooldown semantics
Level/HP/gold curves	Media.pk2 textdata -> leveldata.tsv, levelgold.tsv	Level->xp/hp/gold curves proven	LevelDataTable, LevelGoldTable	PROVEN	TextDataTablesTest	android/app/src/main/assets/game/textdata/leveldata.tsv	Curve application to player
Teleport data	Media.pk2 -> teleportlink.tsv, teleportbuilding.tsv, teleportdata.tsv	Teleport graph proven	TeleportDataTable	PROVEN	TextDataTablesTest	android/app/src/main/assets/game/textdata/teleportlink.tsv	Teleport trigger semantics
Quest data	Media.pk2 -> questdata.tsv, refquestreward*.tsv	Quest definitions proven	QuestDataTable	PROVEN	TextDataTablesTest	android/app/src/main/assets/game/textdata/questdata.tsv	Quest state machine
Shop data	Media.pk2 -> refshop.tsv, refshopgoods.tsv	Shop/goods proven	RefShopGoodsTable	PROVEN	TextDataTablesTest	android/app/src/main/assets/game/textdata/refshopgoods.tsv	Shop transaction semantics
World map instance	Media.pk2 -> worldmap_instanceinfo.tsv, worldmap_mapinfo.tsv	Region instance layout proven	WorldMapInstanceTable, RegionCatalog	PROVEN	RegionCatalogTest	android/app/src/main/assets/game/textdata/worldmap_instanceinfo.tsv	Instance runtime switching
Terrain height	Data.pk2 -> committed *.hg files	Terrain height grid proven	TerrainHeightGrid, WorldTerrainSet	PROVEN	TerrainHeightGridTest	android/app/src/main/assets/game/world/*.hg	None
Mesh/skeleton data	Data.pk2 -> decoded *.msh/*.bsk/*.bsr -> committed JSON	Mesh + skeleton chain proven	CharacterMeshIndex, MeshObjectIndex, StaticMeshAsset	PROVEN	CharacterMeshIndexTest, StaticMeshAssetTest	android/app/src/main/assets/game/world/characters/shared/*	None
Animation pose decoding	Data.pk2 -> *.ban decoded -> committed JSON	Bone animation pose decoding proven	Pose (poseAt), CharacterRenderer	PROVEN	CharacterMeshIndexTest	android/app/src/main/assets/game/world/characters/bandit/anim/*	Runtime skinning performance on device
Native Android runtime	Phase 22: no WebView/Capacitor/browser in android/ gameplay runtime	Native Java runtime proven	GameActivity + NativeWorldRenderer (native, no WebView)	PROVEN	Phase28SourceEvidenceTest	android/app/src/main/java/com/opensilkroadmap/app/game/GameActivity.java	On-device execution (NOT EXECUTED)
WebView/Capacitor wrapper	Phase 22 removed from runtime	Retired, preserved as reference	legacy/capacitor/ (not compiled)	DEAD	Phase28SourceEvidenceTest	legacy/capacitor/	None (reference only)
map/ TS web game prototype	Separate web project; wired via initGameFlow in map/src/main.ts	Browser gameplay prototype, NOT the Android runtime	None (not part of Android app)	DEAD	Phase28SourceEvidenceTest	map/src/game/ (map/src/main.ts:46)	Whether to retire map/ web prototype
